nohup: ignoring input
Running: XferType=2, FileSize=4G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=2, FileSize=4G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=2, FileSize=4G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=2, FileSize=4G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=2, FileSize=4G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=2, FileSize=4G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=2, FileSize=4G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=2, FileSize=8G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=2, FileSize=8G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=2, FileSize=8G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=3, FileSize=512M, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=3, FileSize=512M, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=3, FileSize=512M, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=3, FileSize=1G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=3, FileSize=1G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=3, FileSize=1G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=3, FileSize=4G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=3, FileSize=4G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=3, FileSize=4G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=3, FileSize=8G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=3, FileSize=8G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=3, FileSize=8G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=4, FileSize=512M, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=4, FileSize=512M, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=4, FileSize=512M, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=4, FileSize=1G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=4, FileSize=1G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=4, FileSize=1G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=4, FileSize=4G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=4, FileSize=4G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=4, FileSize=4G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=4, FileSize=8G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=4, FileSize=8G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=4, FileSize=8G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=5, FileSize=512M, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=5, FileSize=512M, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=5, FileSize=512M, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=5, FileSize=1G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=4K, Run=2 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=4K, Run=3 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=1M, Run=1 (Warmup=true)
Running: XferType=5, FileSize=1G, IOSize=1M, Run=1 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=1M, Run=2 (Warmup=false)
Running: XferType=5, FileSize=1G, IOSize=1M, Run=3 (Warmup=false)
Running: XferType=5, FileSize=4G, IOSize=4K, Run=1 (Warmup=true)
Running: XferType=5, FileSize=4G, IOSize=4K, Run=1 (Warmup=false)
Running: XferType=5, FileSize=4G, IOSize=4K, Run=2 (Warmup=false)
